teams,winner
"Vayne,Viego,Azir,Zeri,Braum,Lucian,Poppy,TwistedFate,Kaisa,Blitzcrank",0
"Teemo,Nunu,Yone,Varus,Nautilus,Jayce,Brand,Lucian,Kalista,Alistar",0
"Renekton,Yone,Azir,Jinx,Thresh,Viego,Kindred,Taliyah,Yasuo,Soraka",1
"Jayce,Rammus,Draven,Ahri,Hwei,Malphite,Kindred,Akali,Senna,Bard",1
"Udyr,Khazix,Anivia,Kalista,Camille,Jax,Taliyah,Qiyana,Smolder,Zilean",0
"Fiora,Taliyah,Tristana,Varus,Ezreal,Jayce,Zyra,Yone,Smolder,Karma",0
"Azir,Volibear,Yone,Kaisa,Alistar,Renekton,Kindred,AurelionSol,Twitch,Blitzcrank",1
"Garen,XinZhao,Hwei,Varus,Leona,Jayce,LeeSin,Azir,Lux,Annie",0
"Jayce,Belveth,Karma,TahmKench,Senna,Mordekaiser,Kindred,Ashe,Naafiri,Milio",1
"Volibear,Taliyah,Jayce,Aphelios,Soraka,Yasuo,Evelynn,Naafiri,KogMaw,Milio",1
"Garen,Ekko,Azir,Draven,Alistar,Riven,LeeSin,Yone,AurelionSol,Braum",0
"Aatrox,Taliyah,Malphite,LeeSin,Senna,Fiora,Evelynn,Qiyana,Nautilus,Kaisa",0
"Annie,Kindred,KSante,Smolder,Alistar,Gnar,Evelynn,Akshan,Kaisa,Camille",1
"Zoe,Volibear,Fiora,Caitlyn,Bard,Renekton,Viego,Orianna,TahmKench,Senna",0
"Gangplank,Graves,Viktor,Kaisa,Pyke,Jayce,Taliyah,Zed,Seraphine,Leona",1
"Aatrox,Nidalee,Qiyana,Kaisa,Bard,Jax,XinZhao,Karma,Aphelios,Volibear",0
"Akali,MonkeyKing,Jayce,Karthus,Rakan,Irelia,Taliyah,Volibear,Smolder,Nautilus",1
"Shen,LeeSin,AurelionSol,Kaisa,Ashe,Jayce,Kindred,Lulu,Karthus,Nautilus",1
"Shen,RekSai,Karma,Yasuo,Hwei,Yone,Taliyah,Tristana,MissFortune,Soraka",1
"Shen,Udyr,Ziggs,Smolder,Karma,Yasuo,Taliyah,Irelia,Zeri,Janna",1
"Rengar,Kayn,Singed,Jinx,Nautilus,Darius,MonkeyKing,Viktor,Caitlyn,Bard",1
"Gangplank,Viego,Kaisa,Qiyana,Hwei,Renekton,Kindred,Ahri,MissFortune,Nautilus",1
"Renekton,Gragas,Yasuo,Draven,Nautilus,Aatrox,Kindred,Karma,Kalista,Hwei",0
"TahmKench,Gragas,Tristana,Vayne,Xerath,Renekton,Kayn,Hwei,Lucian,Nami",0
"Aatrox,LeeSin,Akali,Aphelios,Xerath,Poppy,Viego,Leblanc,MissFortune,Rell",0
"Jayce,Taliyah,Qiyana,KogMaw,Rell,Gragas,Talon,Tristana,Smolder,Xerath",1
"Cassiopeia,JarvanIV,Akshan,Senna,Maokai,Irelia,Graves,Azir,Varus,Nautilus",1
"Jax,Volibear,Karma,Smolder,Sona,Darius,Kindred,Seraphine,Senna,Nautilus",1
"Kennen,Karthus,Zed,Ashe,Alistar,Rumble,LeeSin,Tristana,Cassiopeia,Taliyah",1
"Katarina,Urgot,Khazix,Smolder,Seraphine,Darius,Viego,Taliyah,Senna,Hwei",1
"Darius,Brand,Talon,Smolder,Zilean,Heimerdinger,Kayn,Irelia,Caitlyn,Janna",1
"Aatrox,Taliyah,Zac,Kaisa,Blitzcrank,Fiora,Kindred,Ahri,Zeri,Bard",1
